Account,total_trades,total_pnl,avg_pnl,win_rate,avg_trade_size,pnl_volatility
0x083384f897ee0f19899168e3b1bec365f52a9012,2486,965588.745995,388.4105977453741,40.30571198712792,16277.36808930008,3759.937556440123
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1192,14102.674084,11.831102419463088,40.01677852348993,2019.2811241610739,121.6254249877419
0x271b280974205ca63b716753467d5a371de622ab,4,208.81746,52.204365,75.0,39530.9875,61.50201732292121
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2737,58534.883527,21.386512066861528,47.82608695652174,372.62697478991595,133.22382414014945
0x2c229d22b100a7beb69122eed721cee9b24011dd,378,43040.784276,113.86450866666667,51.85185185185185,2914.6557142857146,519.0386842074541
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,51,229.321727,4.496504450980392,19.607843137254903,929.7696078431372,11.17468400949937
0x39cef799f8b69da1995852eea189df24eb5cae3c,297,-4320.315052,-14.546515326599327,27.27272727272727,6991.433939393939,574.1068328756645
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,44,1536.976938,34.93129404545454,63.63636363636363,4959.576363636364,60.90692221100029
0x420ab45e0bd8863569a5efbb9c05d91f40624641,55,1762.46,32.04472727272727,18.181818181818183,9960.632,89.80528103130662
0x430f09841d65beb3f27765503d0f850b8bce7713,6,0.0,0.0,0.0,0.5483333333333333,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2338,15065.117094,6.443591571428571,32.67750213857998,527.9615141146279,34.6779068974364
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,301,444.205198,1.4757647774086378,3.322259136212625,10236.291561461794,21.149353256859833
0x4f93fead39b70a1824f981a54d4e55b278e9f760,1785,38868.83949099999,21.775260219047613,32.88515406162465,15247.924212885153,1009.0140712609332
0x513b8629fe877bb581bf244e326a047b249c4ff1,522,60544.304874,115.98525837931035,45.21072796934866,15575.028582375478,562.2466844389342
0x6d6a4b953f202f8df5bed40692e7fd865318264a,145,2118.454577,14.610031565517241,26.89655172413793,917.6755172413793,32.79526591817904
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,141,0.0,0.0,0.0,11569.857730496453,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,283,197294.93561,697.1552495053003,39.57597173144876,2591.129469964664,2703.199413174806
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2312,142583.699257,61.67115019766436,80.96885813148789,3709.9233564013844,166.84222136985093
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,45,3039.365339,67.54145197777778,64.44444444444444,3281.3522222222223,144.41248920735214
0x8170715b3b381dffb7062c0298972d4727a0a63b,439,38304.27852,87.25348182232347,31.435079726651484,1936.0492482915718,330.75116253493513
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,501,11022.64051,22.001278463073852,35.32934131736527,13760.959301397206,217.75422018521346
0x8477e447846c758f5a675856001ea72298fd9cb5,2819,-2648.424758,-0.9394908683930472,32.52926569705569,873.5355622561192,91.70611957663961
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,169,12245.905048999999,72.46097662130177,44.37869822485207,2370.67449704142,168.57458318413939
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,1697,3650.676202,2.1512529180907483,19.97642899233942,1796.9505362404243,184.28216165450144
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,261,27717.904637,106.19886834099617,46.74329501915709,2293.673333333333,819.4822694439805
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,211,20925.513222,99.17304844549764,49.763033175355446,3773.6183412322275,292.63856724667994
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,14,2075.0152399999997,148.21537428571426,21.428571428571427,25430.426428571427,538.8495533094099
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,5220,1478494.69111,283.2365308639847,34.21455938697318,5098.5607471264375,2094.2274423178114
0xb899e522b5715391ae1d4f137653e7906c5e2115,340,40270.812285,118.44356554411765,46.76470588235294,21592.40955882353,509.02839642093085
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2562,201353.921589,78.59247524941452,56.04996096799375,4542.7933957845435,508.24980208062675
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,794,45099.968159000004,56.800967454659954,33.75314861460957,7577.776863979849,1741.6271980367728
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,5715,205652.297237,35.98465393473316,53.89326334208224,1840.1940682414697,208.72156399830087
